Number,Version,Short description,Author,Category,Workflow,Updated
KB0000001,1.0,Sales Force Automation is DOWN. Notification about downtime affecting Sales Force Automation services.,Wayne Webb,Announcements,Published,2022-12-05 20:46:33
KB0000002,1.0,Email Interruption Tonight at 11:00 PM Eastern. Alert regarding scheduled email service interruption.,Wayne Webb,Announcements,Published,2022-12-05 20:46:33
KB0000003,1.0,Guide to managing settings in Internet Explorer 10 on Windows 8.,Wayne Webb,IE,Published,2022-12-05 20:46:33
KB0000004,1.0,Signature Authority Policy. Defines who has authority to sign contracts and documents on behalf of the company.,System Administrator,Sales,Published,2023-05-10 02:03:49
KB0000005,1.0,"Overview of Excel functionality including formulas, formatting, and data analysis tools.",Boris Catino,Excel,Published,2014-12-19 07:56:23
KB0000006,1.0,Tips for identifying and removing spyware and viruses from your computer.,Wayne Webb,Security,Published,2022-12-05 20:46:33
KB0000007,1.0,"What is a cookie?  Explains what cookies are, how they work, and their role in web browsing.",Wayne Webb,FAQ,Published,2022-12-05 20:46:33
KB0000008,1.0,Instructions for configuring VPN access on Apple devices.,Wayne Webb,Apple,Published,2014-12-19 07:55:30
KB0000009,1.0,"Are Copyrighted Files Illegal to Have On My Computer? Clarifies the legality of possessing copyrighted files on personal computers.
  ",Wayne Webb,Policies,Published,2022-12-05 20:46:33
KB0000010,1.0,"Details warranty coverage for SCI and DeSC computers, including eligibility and support.",Wayne Webb,Dell,Published,2022-12-05 20:46:33
KB0000011,1.0,How to Deal with Spam? Tips for identifying and managing spam emails to protect your inbox.,Ron Kettering,Email,Published,2014-12-19 07:54:36
KB0000012,1.0,Explains where to find software updates and new releases for your system or applications.,Sam Sorokin,How To,Published,2022-12-05 20:46:33
KB0000013,1.0,How do I quit an application  that isn't responding? Ways to solve an unresponsive application.,Sam Sorokin,Mac OS X,Published,2022-12-05 20:46:33
KB0000014,1.0,"Can I upgrade my operating system? What are the system requirements? Explains how to upgrade your operating system and check system requirements.
  ",Sam Sorokin,How To,Published,2022-12-05 20:46:33
KB0000015,1.0,Instructions for creating and deleting user accounts in Windows.,Sam Sorokin,How To,Published,2022-12-05 20:46:33
KB0000016,1.0,"Overview of Windows 10 features, system requirements, and upgrade options.",Boris Catino,Windows,Published,2022-12-05 20:46:33
KB0000017,1.0,What is the Windows key?  Describes the function and uses of the Windows key on a keyboard.,Boris Catino,Windows,Published,2022-12-05 20:46:33
KB0000018,1.0,"About Windows Vista. Overview of Windows Vista features, system requirements, and support status.",Boris Catino,Windows Vista,Published,2022-12-05 20:46:33
KB0000019,1.0,Guide to restoring your computer to a previous configuration using system restore tools.,Boris Catino,Windows,Published,2022-12-05 20:46:33
KB0000020,1.0,Guidance on whether to upgrade to Windows 8.x based on features and compatibility.,Boris Catino,Windows 8,Published,2022-12-05 20:46:33
KB0000021,1.0,About Windows 7. Overview of Windows 7 features and support lifecycle.,Boris Catino,Windows 7,Published,2022-12-05 20:46:33
KB0000022,1.0,Steps to set or change your default web browser in Windows.,Boris Catino,Windows,Published,2022-12-05 20:46:33
KB0000024,1.0,Instructions for creating a personalized email signature in Outlook 2010.,Ron Kettering,Outlook 2010,Published,2022-12-05 20:46:33
KB0000025,1.0,Automatic Replies (Out Of Office). Guide to setting up automatic out-of-office replies in Outlook 2010.,Ron Kettering,Outlook 2010,Published,2022-12-05 20:46:33
KB0000026,1.0,Create And Edit A Contact Group. Instructions for creating and editing contact groups in Outlook 2010.,Ron Kettering,Outlook 2010,Published,2022-12-05 20:46:33
KB0000027,1.0,Step-by-step guide to importing an address book into Outlook 2010 using a CSV file.,Ron Kettering,Outlook 2010,Published,2022-12-05 20:46:33
KB0000028,1.0,Explains phishing scams and provides tips to recognize and avoid them.,Ron Kettering,Email,Published,2022-12-05 20:46:33
KB0000029,1.0,What is Spam? Defines spam and provides tips for identifying and managing unwanted emails.,Ron Kettering,Email,Published,2022-12-05 20:46:33
KB0000030,1.0,Deleted Email Recovery. Instructions for recovering deleted emails in Outlook 2010.,Ron Kettering,Outlook 2010,Published,2022-12-05 20:46:33
KB0000031,1.0,Step-by-step guide to locating the MAC address of your Ethernet or wireless interface.,Sam Sorokin,How To,Published,2022-12-05 20:46:33
KB0000032,1.0,Getting Around in Windows. Tips for navigating and using Windows efficiently.,System Administrator,Java,Published,2022-12-05 20:46:33
KB0000033,1.0,"Explanation and steps in Eclipse configuration for Android development.
  ",System Administrator,Android,Published,2022-12-05 20:46:33
KB0000059,1.0,"Instructions for updating personal details such as address, phone number, and emergency contacts.",System Administrator,FAQ,Published,2021-11-22 00:45:42
KB0000090,1.0,Security software installed on individual devices to monitor and control incoming and outgoing network traffic based on user-defined rules.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:42
KB0000091,1.0,"Unauthorized attempt to recover or guess passwords using techniques such as brute force, dictionary attacks, or rainbow tables.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:43
KB0000092,1.0,"VPN protocol that encapsulates PPP frames for secure data transmission, though considered outdated due to known vulnerabilities.",Security Incident Admin,Protocol,Published,2025-04-21 16:18:43
KB0000093,1.0,"Set of rules governing data exchange between devices in a network, ensuring structured and reliable communication.",Security Incident Admin,Protocol,Published,2025-04-21 16:18:43
KB0000094,1.0,"Action taken by a system or team in reaction to an event, request, or incident, often part of a broader incident management process.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:43
KB0000095,1.0,Security framework that enforces access control policies using predefined rule sets to manage permissions and system behavior.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:43
KB0000096,1.0,"Fundamental building block of digital circuits that performs basic logical operations like AND, OR, and NOT.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:43
KB0000097,1.0,"External event such as floods, earthquakes, or storms that can disrupt IT infrastructure and require contingency planning.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:43
KB0000098,1.0,"Unit of data transmitted across a network, containing headers and payload used for routing and delivery.",Security Incident Admin,Data,Published,2025-04-21 16:18:43
KB0000099,1.0,Network scanning technique that sends ICMP Echo Requests to identify active hosts and assess basic connectivity.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:43
KB0000100,1.0,"Type of malware that attaches itself to executable files, spreading by infecting other programs during execution.",Security Incident Admin,Software,Published,2025-04-21 16:18:43
KB0000101,1.0,Centralized database in Windows systems that stores configuration settings and options for the operating system and installed applications.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:43
KB0000102,1.0,"Network device that forwards data packets between computer networks, directing traffic based on IP addresses and routing protocols.",Security Incident Admin,Network,Published,2025-04-21 16:18:43
KB0000103,1.0,Hardware devices used to monitor network traffic by copying data streams for analysis without disrupting the flow.,Security Incident Admin,Network,Published,2025-04-21 16:18:43
KB0000104,1.0,"Malicious software designed to harm, exploit, or compromise systems, including viruses, worms, trojans, ransomware, and spyware.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:43
KB0000105,1.0,"High-level programming language known for its text processing capabilities, often used in scripting and automation.",Security Incident Admin,Software,Published,2025-04-21 16:18:42
KB0000106,1.0,"Software flaw that occurs when the outcome of a process depends on the timing or sequence of uncontrollable events, potentially leading to security issues.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:42
KB0000107,1.0,Widely used public key encryption algorithm that enables secure data transmission and digital signatures.,Security Incident Admin,Cryptography,Published,2025-04-21 16:18:42
KB0000108,1.0,"Subdivision of a network or memory space used to organize data, improve performance, or enforce security boundaries.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:42
KB0000109,1.0,"Security principle where users and systems are granted only the minimum access necessary to perform their tasks, reducing risk.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:42
KB0000110,1.0,"Metrics used to evaluate the success or impact of a system, process, or security control in achieving its intended outcomes.",Security Incident Admin,Hack,Published,2025-04-21 16:18:42
KB0000111,1.0,Unauthenticated connection to a Windows system that can expose system information or be exploited for reconnaissance.,Security Incident Admin,Authentication,Published,2025-04-21 16:18:42
KB0000112,1.0,Portion of a data packet or malware that carries the actual content or malicious code intended for execution or delivery.,Security Incident Admin,Data,Published,2025-04-21 16:18:42
KB0000113,1.0,Logical access point used by network protocols to identify specific services or applications running on a device.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:43
KB0000114,1.0,"Cryptographic method where a public key is used to encrypt data and a corresponding private key is used to decrypt it, enabling secure communication.",Security Incident Admin,Cryptography,Published,2025-04-21 16:18:43
KB0000115,1.0,"Server that sits between client devices and backend servers, forwarding requests and providing benefits like load balancing, caching, and security.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:43
KB0000116,1.0,Protocol developed to secure online credit card transactions by encrypting payment information and authenticating parties involved.,Security Incident Admin,Authentication,Published,2025-04-21 16:18:43
KB0000117,1.0,"Physical card embedded with a microchip used for secure authentication, data storage, and access control in enterprise environments",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:43
KB0000118,1.0,"Security exploit where the call stack is manipulated, often through buffer overflows, to execute arbitrary code or alter program flow.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:43
KB0000119,1.0,"Process of detecting hidden information embedded within digital files, often used to uncover covert communication or data exfiltration.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:44
KB0000120,1.0,Logging protocol used to collect and transmit system event messages from devices and applications for monitoring and analysis.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:44
KB0000121,1.0,Networking parameter that limits the lifespan of a data packet by specifying the number of hops it can take before being discarded.,Security Incident Admin,Protocol,Published,2025-04-21 16:18:44
KB0000122,1.0,"Network scanning method that targets User Datagram Protocol (UDP) ports to identify open services, often used in vulnerability assessments.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:44
KB0000123,1.0,Security concern involving unauthorized scanning for wireless networks by driving through areas with a device to detect open or vulnerable Wi-Fi access points.,Security Incident Admin,Network,Published,2025-04-21 16:18:44
KB0000124,1.0,"Temporary communication exchange between two systems or applications, often involving authentication and state tracking.",Security Incident Admin,Network,Published,2025-04-21 16:18:44
KB0000125,1.0,Manipulative tactics used by attackers to trick individuals into revealing confidential information or performing unsafe actions.,Security Incident Admin,Hack,Published,2025-04-21 16:18:44
KB0000126,1.0,Firewall technique that tracks the state of active connections and makes decisions based on context rather than just packet filtering.,Security Incident Admin,Network,Published,2025-04-21 16:18:44
KB0000127,1.0,"Encryption method where the same key is used for both encryption and decryption, requiring secure key distribution.",Security Incident Admin,Cryptography,Published,2025-04-21 16:18:45
KB0000128,1.0,"Any potential danger that could exploit a vulnerability to cause harm to systems, data, or operations.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:45
KB0000129,1.0,Networking technique that combines multiple communication channels to increase bandwidth or support multiple VLANs over a single link.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:45
KB0000130,1.0,"Security system designed to monitor and block malicious activity in voice communication networks, such as VoIP.",Security Incident Admin,Denial of Service,Published,2025-04-21 16:18:45
KB0000131,1.0,"Reference to applications or programs installed on a system, potentially involving installation, updates, licensing, or troubleshooting.",Security Incident Admin,Data,Published,2025-04-21 16:18:44
KB0000132,1.0,"Security feature in Unix-based systems where encrypted user passwords are stored in a separate, restricted-access file to enhance protection.",Security Incident Admin,Cryptography,Published,2025-04-21 16:18:44
KB0000133,1.0,"Numerical identifier used in IP networking to divide an IP address into network and host portions, enabling efficient routing and segmentation.",Security Incident Admin,Network,Published,2025-04-21 16:18:43
KB0000134,1.0,Security tool used in Unix systems to control access to network services by filtering incoming requests based on IP addresses and hostnames.,Security Incident Admin,Software,Published,2025-04-21 16:18:43
KB0000135,1.0,Cryptographic protocol that ensures secure communication over networks by encrypting data between client and server.,Security Incident Admin,Protocol,Published,2025-04-21 16:18:44
KB0000136,1.0,"Connectionless transport protocol used for fast, lightweight communication, often in streaming or gaming applications.",Security Incident Admin,Data,Published,2025-04-21 16:18:44
KB0000137,1.0,"Unauthorized interception of communications, often involving phone lines or network traffic, posing legal and privacy concerns.",Security Incident Admin,Data,Published,2025-04-21 16:18:44
KB0000138,1.0,"Digital or behavioral pattern used to identify known threats, such as malware or intrusions, often used in antivirus and IDS systems.",Security Incident Admin,Network,Published,2025-04-21 16:18:44
KB0000139,1.0,"Routing technique that prevents a router from advertising a route back in the direction from which it was learned, reducing routing loops.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:44
KB0000140,1.0,"Type of Ethernet cable used to connect different devices (e.g., switch to router) with matching pin configurations on both ends.",Security Incident Admin,Network,Published,2025-04-21 16:18:44
KB0000141,1.0,"Unauthorized alteration or interference with hardware, software, or data, often with malicious intent or to bypass controls.",Security Incident Admin,Authentication,Published,2025-04-21 16:18:44
KB0000142,1.0,Physical or digital devices that generate or store authentication tokens used for secure access to systems or applications.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:44
KB0000143,1.0,"Reference to the Unix operating system, known for its stability, multitasking capabilities, and widespread use in enterprise and academic environments.",Security Incident Admin,Software,Published,2025-04-21 16:18:44
KB0000144,1.0,"Technique in networking or operating systems that manages data flow or graphical display areas, often used to optimize performance.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:44
KB0000145,1.0,"Exploit targeting a previously unknown vulnerability that has not yet been patched, posing significant risk to systems.",Security Incident Admin,Software,Published,2025-04-21 16:18:45
KB0000146,1.0,"Small application or program, often embedded in a webpage, that performs specific functions within a larger software environment.",Security Incident Admin,Software,Published,2025-04-21 16:18:39
KB0000147,1.0,"Individual or entity responsible for the integrity, security, and proper use of specific data assets within an organization.",Security Incident Admin,Authentication,Published,2025-04-21 16:18:40
KB0000148,1.0,"Mechanism that regulates who or what can view or use resources in a computing environment, based on policies and permissions.",Security Incident Admin,Authentication,Published,2025-04-21 16:18:40
KB0000149,1.0,"Process of systematically reviewing system activity, configurations, or access logs to ensure compliance, detect anomalies, and support investigations.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:40
KB0000150,1.0,"Smallest unit of digital information, representing a binary value of 0 or 1, and forming the foundation of all computing operations.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:40
KB0000151,1.0,"Performance issue where excessive or unnecessary data is stored in cache, potentially leading to memory exhaustion or degraded system behavior.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:40
KB0000152,1.0,"Specialized group responsible for managing cybersecurity incidents, coordinating response efforts, and sharing threat intelligence.",Security Incident Admin,Hack,Published,2025-04-21 16:18:40
KB0000153,1.0,Process of collecting and summarizing data from multiple sources to produce consolidated insights or reports.,Security Incident Admin,Data,Published,2025-04-21 16:18:40
KB0000154,1.0,"Network segment that separates internal systems from external-facing services, providing an added layer of security against external threats.",Security Incident Admin,Network,Published,2025-04-21 16:18:40
KB0000155,1.0,"Logical grouping of network resources under a common name, often used in DNS or Active Directory environments for centralized management.",Security Incident Admin,Software,Published,2025-04-21 16:18:40
KB0000156,1.0,"Process of converting data into a coded format to prevent unauthorized access, ensuring confidentiality during storage or transmission.",Security Incident Admin,Cryptography,Published,2025-04-21 16:18:40
KB0000157,1.0,"Router configured to inspect and control traffic based on rules such as IP addresses, ports, or protocols, enhancing network security.",Security Incident Admin,Data,Published,2025-04-21 16:18:40
KB0000158,1.0,Automated software testing technique that inputs random or malformed data to identify vulnerabilities or unexpected behavior in applications.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:40
KB0000159,1.0,"Small data file stored on a user's device by a website to retain session information, preferences, or tracking data.",Security Incident Admin,Data,Published,2025-04-21 16:18:40
KB0000160,1.0,"Authentication method that uses digital certificates to verify user or device identity, often part of a public key infrastructure (PKI)",Security Incident Admin,Authentication,Published,2025-04-21 16:18:39
